,action,effectiveness
1018,Fence to prevent grazing after tree planting,Likely to be beneficial
1019,Fertilize artificial grasslands,Unknown effectiveness (limited evidence)
1020,Fill/block ditches,No evidence found (no assessment)
1021,Fill/block ditches to create conditions suitable for peatland plants (without planting),Likely to be beneficial
1022,Finance low interest loans to convert to fishing gear that reduces unwanted catch of mammals,No evidence found (no assessment)
1023,Finance low interest loans to convert to fishing gear that reduces unwanted catch of reptiles,No evidence found (no assessment)
1024,Fit a funnel (such as a sievenet) or other escape devices on shrimp/prawn trawl nets,Unknown effectiveness (limited evidence)
1025,Fit a moving device to a trawl net to stimulate fish escape response (stimulator device),Awaiting assessment
1026,"Fit a size-sorting escape grid (rigid or flexible) and large, supported escape openings to trawl nets",Awaiting assessment
1027,Fit a size-sorting escape grid (rigid or flexible) to a fish trawl net,Awaiting assessment
1028,Fit a size-sorting escape grid (rigid or flexible) to a prawn/shrimp trawl net,Awaiting assessment
1029,Fit a size-sorting escape grid (rigid or flexible) to trawl nets and use a square mesh instead of a diamond mesh codend,Awaiting assessment
1030,Fit a size-sorting mesh funnel (a sieve net) to a prawn/shrimp trawl net,Awaiting assessment
1031,Fit escape devices (panels/grids) to encircling nets,Awaiting assessment
1032,"Fit large, supported escape openings (such as Fisheyes, Bigeyes and radial escape sections) to trawl nets",Awaiting assessment
1033,Fit livestock with protective collars to reduce risk of predation by mammals to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
1034,Fit mesh escape panels/windows and a size-sorting grid (rigid or flexible) to a trawl net,Awaiting assessment
1035,Fit mesh escape panels/windows to a trawl net,Awaiting assessment
1036,Fit mesh escape panels/windows to a trawl net and use square mesh instead of diamond mesh codend,Awaiting assessment
1037,"Fit one or more mesh escape panels/windows and one or more soft, rigid or semi-rigid grids or frames to trawl nets",Unknown effectiveness (limited evidence)
1038,Fit one or more mesh escape panels/windows on pots and traps,No evidence found (no assessment)
1039,Fit one or more mesh escape panels/windows to trawl nets,Likely to be beneficial
1040,Fit one or more mesh escape panels/windows to trawl nets and use a square mesh instead of a diamond mesh codend,Unknown effectiveness (limited evidence)
1041,"Fit one or more soft, semi-rigid, or rigid grids or frames and increase the mesh size of pots and traps",Unknown effectiveness (limited evidence)
1042,"Fit one or more soft, semi-rigid, or rigid grids or frames on pots and traps",Unknown effectiveness (limited evidence)
1043,"Fit one or more soft, semi-rigid, or rigid grids or frames to trawl nets",Likely to be beneficial
1044,"Fit one or more soft, semi-rigid, or rigid grids or frames to trawl nets and use square mesh instead of a diamond mesh at the codend",Unknown effectiveness (limited evidence)
1045,Fit rigid (as opposed to mesh) escape panels/windows to a trawl net,Awaiting assessment
1046,Fit vehicles with ultrasonic warning devices,Unlikely to be beneficial
1047,"Floating pennywort: Biological control using co-evolved, host specific herbivores",Unlikely to be beneficial
1048,Floating pennywort: Biological control using fungal-based herbicides,No evidence found (no assessment)
1049,Floating pennywort: Biological control using native herbivores,No evidence found (no assessment)
1050,Floating pennywort: Chemical control using herbicides,Beneficial
1051,Floating pennywort: Combination treatment using herbicides and physical removal,Unknown effectiveness (limited evidence)
1052,"Floating pennywort: Environmental control (e.g. shading, reduced flow, reduction of rooting depth, or dredging)",No evidence found (no assessment)
1053,Floating pennywort: Excavation of banks,No evidence found (no assessment)
1054,Floating pennywort: Flame treatment,Likely to be beneficial
1055,Floating pennywort: Physical removal,Likely to be beneficial
1056,Floating pennywort: Public education,No evidence found (no assessment)
1057,Floating pennywort: Use of hydrogen peroxide,Unlikely to be beneficial
1058,Floating pennywort: Use of liquid nitrogen,No evidence found (no assessment)
1059,Flood cropland when fallow to conserve brackish/salt marshes,No evidence found (no assessment)
1060,Flood cropland when fallow to conserve freshwater marshes,Unknown effectiveness (limited evidence)
1061,Food labelling schemes relating to biodiversity-friendly farming,No evidence found (no assessment)
1062,Foster eggs or chicks of bustards with wild conspecifics,Unknown effectiveness (limited evidence)
1063,Foster eggs or chicks of cranes with wild conspecifics,Unknown effectiveness (limited evidence)
1064,Foster eggs or chicks of cranes with wild non-conspecifics (cross-fostering),Unknown effectiveness (limited evidence)
1065,Foster eggs or chicks of gannets and boobies with wild conspecifics,Unknown effectiveness (limited evidence)
1066,Foster eggs or chicks of ibises with wild non-conspecifics (cross-fostering),Unknown effectiveness (limited evidence)
1067,Foster eggs or chicks of owls with wild conspecifics,Unknown effectiveness (limited evidence)
1068,Foster eggs or chicks of parrots with wild conspecifics,Unknown effectiveness (limited evidence)
1069,Foster eggs or chicks of petrels and shearwaters with wild non-conspecifics (cross-fostering),Unknown effectiveness (limited evidence)
1070,Foster eggs or chicks of raptors with wild conspecifics,Likely to be beneficial
1071,Foster eggs or chicks of songbirds with wild non-conspecifics (cross-fostering),Likely to be beneficial
1072,Foster eggs or chicks of vultures with wild conspecifics,Unknown effectiveness (limited evidence)
1073,Foster eggs or chicks of waders with wild conspecifics,Unknown effectiveness (limited evidence)
1074,Foster eggs or chicks of waders with wild non-conspecifics (cross-fostering),Unknown effectiveness (limited evidence)
1075,Foster eggs or chicks of woodpeckers with wild conspecifics,Unknown effectiveness (limited evidence)
1076,Fostering appropriate behaviour to facilitate rehabilitation,Unknown effectiveness (limited evidence)
1077,Freeze semen for use in artificial insemination,Unknown effectiveness (limited evidence)
1078,Freeze sperm or eggs for future use,Unlikely to be beneficial
1079,Freeze sperm or eggs for future use,No evidence found (no assessment)
1080,Gather coarse woody debris into piles after felling,Unknown effectiveness (limited evidence)
1081,"Genetically modify non-native, invasive or other problematic species",No evidence found (no assessment)
1082,"Graze herbivores on pasture, instead of sustaining with artificial foods",Unknown effectiveness (limited evidence)
1083,Graze with livestock after seeding/planting,Evidence not assessed
1084,Grow cover crops beneath the main crop (living mulches) or between crop rows,Likely to be beneficial
1085,Grow cover crops when the field is empty,Beneficial
1086,Grow non-crop plants that produce chemicals that attract natural enemies,Likely to be beneficial
1087,Grow plants that compete with damaging weeds,Likely to be beneficial
1088,Grow unattractive crop in buffer zone around crops (e.g. chili peppers) to reduce human-wildlife conflict,No evidence found (no assessment)
1089,Guard habituated primate groups to ensure their safety/well-being,Likely to be beneficial
1090,Guard nests to increase nest success,Unknown effectiveness (limited evidence)
1091,Guard nests to prevent predation,No evidence found (no assessment)
1092,Guard nests to reduce risk of ectoparasites,No evidence found (no assessment)
1093,Habituate birds to human visitors,Unknown effectiveness (limited evidence)
1094,Habituate mammals to visitors,Unknown effectiveness (limited evidence)
1095,Habituate primates to human presence to reduce stress from tourists/researchers etc.,Unknown effectiveness (limited evidence)
1096,Halo ancient trees,No evidence found (no assessment)
1097,Hand harvest instead of using a dredge,Unknown effectiveness (limited evidence)
1098,Hand-rear orphaned or abandoned marine and freshwater mammal young,Trade-off between benefit and harms
1099,Hand-rear orphaned or abandoned young in captivity,Trade-off between benefit and harms
1100,Harvest groups of trees instead of clearcutting,No evidence found (no assessment)
1101,Harvest groups of trees instead of clearcutting,Likely to be ineffective or harmful
1102,Harvest timber outside mammal reproduction period,No evidence found (no assessment)
1103,Head-start amphibians for release,Trade-off between benefit and harms
1104,Head-start wild-caught reptiles for release: Crocodilians,Awaiting assessment
1105,Head-start wild-caught reptiles for release: Sea turtles,Awaiting assessment
1106,Head-start wild-caught reptiles for release: Snakes & lizards,Awaiting assessment
1107,"Head-start wild-caught reptiles for release: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
1108,Head-start wild-caught reptiles for release: Tuatara,Awaiting assessment
1109,Heat seeds of non-woody plants before sowing: brackish/saline wetlands,No evidence found (no assessment)
1110,Heat seeds of non-woody plants before sowing: freshwater wetlands,Unknown effectiveness (limited evidence)
1111,Heat tree/shrub seeds before sowing: brackish/saline wetlands,No evidence found (no assessment)
1112,Heat tree/shrub seeds before sowing: freshwater wetlands,Unknown effectiveness (limited evidence)
1113,Hold translocated mammals in captivity before release,Likely to be beneficial
1114,Humans chase primates using bright light,No evidence found (no assessment)
1115,Humans chase primates using random loud noise,Likely to be beneficial
1116,Imitate natural disturbances by pushing over trees,No evidence found (no assessment)
1117,Immunize amphibians against chytridiomycosis infection,Unknown effectiveness (limited evidence)
1118,"Implement 'mosaic management', a Dutch agri-environment option",Evidence not assessed
1119,Implement ‘mosaic management’ of agriculture,No evidence found (no assessment)
1120,Implement ‘mosaic management’ of farmland,No evidence found (no assessment)
1121,Implement ‘mosaic management’ when harvesting wild biological resources,No evidence found (no assessment)
1122,Implement ‘mosaic management’ when harvesting wild vegetation,No evidence found (no assessment)
1123,Implement a ‘no-feeding of wild primates’ policy,Unknown effectiveness (limited evidence)
1124,Implement a health programme for local communities,No evidence found (no assessment)
1125,Implement a minimum number of roads (& minimize secondary roads) needed to reach mining extraction sites,No evidence found (no assessment)
1126,Implement biosecurity measures to prevent introductions of problematic species,No evidence found (no assessment)
1127,Implement biosecurity measures to prevent introductions of problematic species,No evidence found (no assessment)
1128,Implement birth control to stabilize primate community/population size,No evidence found (no assessment)
1129,"Implement community control of patrolling, banning hunting and removing snares",Likely to be beneficial
1130,Implement continuous health monitoring with permanent vet on site,Unknown effectiveness (limited evidence)
1131,"Implement food labelling schemes relating to biodiversity-friendly farming (organic, LEAF marque)",No evidence found (no assessment)
1132,Implement legal protection for primate species under threat,Unknown effectiveness (limited evidence)
1133,Implement local no-hunting community policies/traditional hunting ban,Likely to be beneficial
1134,Implement monitoring surveillance strategies (e.g. SMART) or use monitoring data to improve effectiveness of wildlife law enforcement patrols,Unknown effectiveness (limited evidence)
1135,"Implement multimedia campaigns using theatre, film, print media, discussions",Unknown effectiveness (limited evidence)
1136,Implement no-hunting seasons for primates,No evidence found (no assessment)
1137,"Implement quarantine for people arriving at, and leaving the site",No evidence found (no assessment)
1138,Implement quarantine for primates before reintroduction/translocation,Unknown effectiveness (limited evidence)
1139,"Implement quarantine to avoid accidental introduction of disease, non-native or problem species",No evidence found (no assessment)
1140,Implement rapid response plans for stranded mammals following extreme events,No evidence found (no assessment)
1141,Implement regular inspections to avoid accidental introduction of disease or non-native or problem species,No evidence found (no assessment)
1142,Implement road blocks to inspect cars for illegal primate bushmeat,No evidence found (no assessment)
1143,Implement small and dispersed logging compartments,No evidence found (no assessment)
1144,Implement speed limits in particular areas (e.g. with high primate densities) to reduce vehicle collisions with primates,No evidence found (no assessment)
1145,"Implement sustainable harvesting of primates (e.g. with permits, resource access agreements)",No evidence found (no assessment)
1146,Import spat and/or eggs to aquaculture facilities rather than juveniles and adults to reduce the risk of introducing hitchhiking species,No evidence found (no assessment)
1147,Impose fines for breaking the speed limit or colliding with primates,No evidence found (no assessment)
1148,Impose noise limits in proximity to bat roosts and habitats,No evidence found (no assessment)
1149,Impose noise limits in proximity to reptile habitats and routes,No evidence found (no assessment)
1150,Impose restrictions on cave visits,Likely to be beneficial
1151,Improve connectivity between areas of shrubland to allow species movements and habitat shifts in response to climate change,No evidence found (no assessment)
1152,Improve fish food and pellets to reduce aquaculture waste production,No evidence found (no assessment)
1153,Improve methods for locating fishing gear,No evidence found (no assessment)
1154,Improve soil quality after tree planting (excluding applying fertilizer),Unknown effectiveness (limited evidence)
1155,Improve treatment standards of sewage and wastewater,No evidence found (no assessment)
1156,Incentivise species protection through licensed trophy hunting,Unknown effectiveness (limited evidence)
1157,Include fishers in management groups for marine protected areas,Awaiting assessment
1158,Incorporate existing trees or woods into the landscape of new developments,No evidence found (no assessment)
1159,Incorporate forested corridors or buffers into logged areas,No evidence found (no assessment)
1160,Incorporate leys into crop rotation,Trade-off between benefit and harms
1161,Incorporate parasitism rates when setting thresholds for insecticide use,Unknown effectiveness (limited evidence)
1162,Incorporate plant remains into the soil that produce weed-controlling chemicals,Likely to be ineffective or harmful
1163,Increase ‘on-the-ground’ protection (e.g. rangers),Unknown effectiveness (limited evidence)
1164,Increase ‘on-the-ground’ protection (e.g. rangers) for marshes or swamps,No evidence found (no assessment)
1165,Increase ‘on-the-ground’ protection to reduce unsustainable levels of exploitation,Unknown effectiveness (limited evidence)
1166,Increase areas of rough grassland for bumblebee nesting,Awaiting assessment
1167,Increase crop diversity,Unknown effectiveness (limited evidence)
1168,Increase crop diversity for mammals,No evidence found (no assessment)
1169,Increase crop diversity to benefit birds,Unknown effectiveness (limited evidence)
1170,Increase livestock numbers to control bracken,No evidence found (no assessment)
1171,Increase number of livestock,Unknown effectiveness (limited evidence)
1172,Increase number of livestock and use prescribed burning to control trees,Unknown effectiveness (limited evidence)
1173,Increase number of species in seed mix,Evidence not assessed
1174,Increase resources for managing protected areas,Unknown effectiveness (limited evidence)
1175,Increase semi-natural habitat within gardens,No evidence found (no assessment)
1176,Increase size of protected area,Unknown effectiveness (limited evidence)
1177,Increase the diversity of nectar and pollen plants in the landscape for bees,Awaiting assessment
1178,Increase the mesh size of pots and traps,Unknown effectiveness (limited evidence)
1179,Increase the proportion of natural or semi-natural habitat in the farmed landscape,Awaiting assessment
1180,Increase the proportion of natural/semi-natural vegetation in the farmed landscape,Likely to be beneficial
1181,Increase the proportion of semi-natural habitat in the farmed landscape,Unknown effectiveness (limited evidence)
1182,Increase the proportion of semi-natural habitat in the farmed landscape,No evidence found (no assessment)
1183,Increase the use of clover leys on farmland,Awaiting assessment
1184,Increase the wind speed at which turbines become operational (‘cut-in speed’),Beneficial
1185,Increase visual detectability of fishing gear for mammals,Likely to be beneficial
1186,Increase water turbidity to reduce fish predation by birds,Unknown effectiveness (limited evidence)
1187,Infect tree seedlings with mycorrhizae,No evidence found (no assessment)
1188,Inform fishers of the impacts of derelict fishing gear on mammals to encourage responsible disposal,No evidence found (no assessment)
1189,"Inform hunters of the dangers (e.g., disease transmission) of wild primate meat",No evidence found (no assessment)
1190,Inform local communities about disease risks from hunting and eating bat meat to reduce killing of bats,Unknown effectiveness (limited evidence)
1191,Inform local communities about the negative impacts of bat hunting to reduce killing of bats,Unknown effectiveness (limited evidence)
1192,Inform local communities and fishers about the negative impacts of hunting to reduce the killing of marine and freshwater mammals,No evidence found (no assessment)
1193,Inform the public of ways to reduce disturbance to bats in caves,No evidence found (no assessment)
1194,Inform the public of ways to reduce disturbance to marine and freshwater mammals (e.g. use educational signs),Unknown effectiveness (limited evidence)
1195,Inoculate soil with mycorrhiza before seeding/planting,Evidence not assessed
1196,Inspect bushmeat markets for illegal primate species,No evidence found (no assessment)
1197,Install ‘primate-proof’ garbage bins,No evidence found (no assessment)
1198,"Install a pump on or above the seabed in docks, ports, harbour, or other coastal areas to increase oxygen concentration",Unknown effectiveness (limited evidence)
1199,Install acoustic wildlife warnings along roads,Unknown effectiveness (limited evidence)
1200,Install and maintain anti-predator systems around aquaculture that prevent entanglement of reptiles,No evidence found (no assessment)
1201,Install and maintain cave gates to restrict public access,Trade-off between benefit and harms
1202,Install and maintain gates at mine entrances to restrict public access,Trade-off between benefit and harms
1203,Install automatically closing gates at field entrances to prevent mammals entering to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
1204,Install barrier fencing along railways,Unknown effectiveness (limited evidence)
1205,Install barrier fencing along roads,Beneficial
1206,Install barrier fencing along roads,Trade-off between benefit and harms
1207,Install barrier fencing along waterways,No evidence found (no assessment)
1208,Install barrier fencing and underpasses along roads,Beneficial
1209,Install barriers along roads/railways,Awaiting assessment
1210,Install barriers and crossing structures along roads/railways,Awaiting assessment
1211,Install barriers at wild fisheries,Unknown effectiveness (limited evidence)
1212,Install bat gantries or bat bridges as road/railway crossing structures for bats,Unlikely to be beneficial
1213,Install billboards to raise primate conservation awareness,No evidence found (no assessment)
1214,Install boardwalks/paths to prevent trampling,No evidence found (no assessment)
1215,Install boardwalks/paths to prevent trampling,No evidence found (no assessment)
1216,Install bypass channels in dams,No evidence found (no assessment)
1217,Install crossings over/under pipelines,Likely to be beneficial
1218,Install crossings over/under pipelines,No evidence found (no assessment)
1219,Install culverts or tunnels as road crossings,Trade-off between benefit and harms
1220,Install diversion or return systems on cooling water intake structures,No evidence found (no assessment)
1221,Install electric fencing to protect crops from mammals to reduce human-wildlife conflict,Beneficial
1222,Install electric fencing to reduce predation of livestock by mammals to reduce human-wildlife conflict,Beneficial
1223,Install escape devices on fishing gear: Crocodilians,Awaiting assessment
1224,Install escape devices on fishing gear: Sea turtles,Awaiting assessment
1225,Install escape devices on fishing gear: Snakes & lizards,Awaiting assessment
1226,"Install escape devices on fishing gear: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
1227,Install exclusion and escape devices on fishing gear,Awaiting assessment
1228,Install exclusion and/or escape devices for mammals on fishing nets,Likely to be beneficial
1229,Install exclusion devices on fishing gear: Crocodilians,No evidence found (no assessment)
1230,Install exclusion devices on fishing gear: Sea turtles,Awaiting assessment
1231,Install exclusion devices on fishing gear: Snakes & lizards,Awaiting assessment
1232,"Install exclusion devices on fishing gear: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
1233,Install fences around existing culverts or underpasses under roads/railways,Likely to be beneficial
1234,Install fencing around cave entrances to restrict public access,Unknown effectiveness (limited evidence)
1235,Install green bridges (overpasses),No evidence found (no assessment)
1236,Install green bridges as road/railway crossing structures for bats,Unknown effectiveness (limited evidence)
1237,Install hop-overs as road/railway crossing structures for bats,No evidence found (no assessment)
1238,Install ledges in culverts under roads/railways,Likely to be beneficial
1239,Install mammal crossing points along fences on farmland,Likely to be beneficial
1240,"Install mechanical barriers to deter primates (e.g. fences, ditches)",No evidence found (no assessment)
1241,Install metal grids at field entrances to prevent mammals entering to reduce human-wildlife conflict,Likely to be beneficial
1242,Install non-electric fencing to exclude predators or herbivores and reduce human-wildlife conflict,Beneficial
1243,Install one-way gates or other structures to allow wildlife to leave roadways,Likely to be beneficial
1244,Install overpasses as road/railway crossing structures for bats,Likely to be beneficial
1245,Install overpasses over roads/railways,Awaiting assessment
1246,Install overpasses over roads/railways,Beneficial
1247,Install overpasses over waterways,Likely to be beneficial
1248,Install physical barriers to prevent trawling,Unknown effectiveness (limited evidence)
1249,Install physical supports for planted non-woody plants: brackish/saline wetlands,No evidence found (no assessment)
1250,Install physical supports for planted non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence)
1251,Install physical supports for planted trees/shrubs: brackish/saline wetlands,No evidence found (no assessment)
1252,Install physical supports for planted trees/shrubs: freshwater wetlands,No evidence found (no assessment)
1253,Install pole crossings for gliders/flying squirrels,Likely to be beneficial
1254,Install rope bridges between canopies,Beneficial
1255,Install rope or pole (canopy) bridges,Likely to be beneficial
1256,Install signage to warn motorists about wildlife presence,Likely to be beneficial
1257,Install sound barriers in proximity to bat roosts and habitats,No evidence found (no assessment)
1258,Install sound barriers in proximity to reptile habitats,No evidence found (no assessment)
1259,Install sound-proofing insulation between bat roosts and areas occupied by humans within developments,No evidence found (no assessment)
1260,Install speed bumps to reduce vehicle collisions with primates,No evidence found (no assessment)
1261,Install stormwater traps or grids,No evidence found (no assessment)
1262,Install stormwater traps or grids,No evidence found (no assessment)
1263,"Install stormwater traps to prevent garbage from reaching rivers, coastal and marine environments",No evidence found (no assessment)
1264,Install traffic calming structures to reduce speeds,Unknown effectiveness (limited evidence)
1265,Install tunnels/culverts/underpass under railways,Likely to be beneficial
1266,Install tunnels/culverts/underpass under roads,Likely to be beneficial
1267,Install tunnels/culverts/underpasses under roads/railways,Awaiting assessment
1268,Install underpasses beneath ski runs,Unknown effectiveness (limited evidence)
1269,Install underpasses or culverts as road/railway crossing structures for bats,Likely to be beneficial
1270,Install wildlife crosswalks,Unknown effectiveness (limited evidence)
1271,Install wildlife exclusion grates/cattle grids,Likely to be beneficial
1272,Install wildlife warning reflectors along roads,Likely to be beneficial
1273,Insulate power pylons to prevent electrocution,Likely to be beneficial
1274,Integrate marshes or swamps into developed areas,No evidence found (no assessment)
1275,Integrate religion/local taboos into conservation education,No evidence found (no assessment)
1276,Integrated aquaculture systems,Awaiting assessment
1277,Introduce agri-environment schemes to benefit wild bees,Awaiting assessment
1278,Introduce alternative food sources to replace marine and freshwater mammal meat,No evidence found (no assessment)
1279,Introduce alternative income sources to reduce marine and freshwater mammal exploitation and trade,No evidence found (no assessment)
1280,Introduce alternative income sources to replace hunting or harvesting of reptiles,Awaiting assessment
1281,Introduce alternative sources of bait to replace the use of marine and freshwater mammals,No evidence found (no assessment)
1282,Introduce alternative treatments to reduce the use of bats in traditional medicine,No evidence found (no assessment)
1283,Introduce alternative treatments to reduce the use of marine and freshwater mammals in traditional medicine,No evidence found (no assessment)
1284,Introduce ammunition tax,No evidence found (no assessment)
1285,Introduce an organism to control problematic plants,Unknown effectiveness (limited evidence)
1286,Introduce and enforce legislation to control hunting of bats,No evidence found (no assessment)
1287,Introduce and enforce legislation to prevent intentional killing of mammals at aquaculture systems,No evidence found (no assessment)
1288,Introduce and enforce legislation to prevent intentional killing of mammals at wild fisheries,No evidence found (no assessment)
1289,Introduce and enforce legislation to regulate harvesting of bat guano,No evidence found (no assessment)
1290,Introduce and enforce regulations for marine and freshwater mammal watching tours,Likely to be beneficial
1291,Introduce and enforce regulations for reptile watching tours,No evidence found (no assessment)
1292,Introduce and enforce regulations for sustainable hunting of marine and freshwater mammals for traditional subsistence and handicrafts,No evidence found (no assessment)
1293,Introduce and enforce regulations to prevent the use of harmful deterrents on mammals at aquaculture systems,No evidence found (no assessment)
1294,Introduce and enforce regulations to prevent the use of harmful deterrents on mammals at wild fisheries,No evidence found (no assessment)
1295,Introduce and enforce water quality regulations for aquaculture systems,No evidence found (no assessment)
1296,Introduce and enforce water quality regulations for aquaculture systems,No evidence found (no assessment)
1297,Introduce beavers to impede water flow in forest watercourses,No evidence found (no assessment)
1298,Introduce catch shares,No evidence found (no assessment)
1299,Introduce certification for bat-friendly crop harvesting regimes,No evidence found (no assessment)
1300,Introduce economic incentives to encourage sustainable fishing,Awaiting assessment
1301,Introduce fishing gear exchange programmes to encourage fishers to use gear that reduces unwanted catch of mammals,No evidence found (no assessment)
1302,Introduce fishing gear exchange programs to encourage fishers to use gear that reduces unwanted catch of reptiles,No evidence found (no assessment)
1303,Introduce fragments of non-woody plants: brackish/saline wetlands,Unknown effectiveness (limited evidence)
1304,Introduce fragments of non-woody plants: freshwater wetlands,Likely to be beneficial
1305,Introduce fragments of trees/shrubs: brackish/saline wetlands,No evidence found (no assessment)
1306,Introduce fragments of trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence)
1307,Introduce guidelines for sustainable cave development and use,No evidence found (no assessment)
1308,Introduce leaf litter to forest stands,No evidence found (no assessment)
1309,Introduce legislation to control the use of hazardous substances,No evidence found (no assessment)
1310,Introduce legislation to control the use of hazardous substances,No evidence found (no assessment)
1311,Introduce legislation to prohibit or restrict the use of fishing gear types or methods that are harmful to mammals,No evidence found (no assessment)
1312,Introduce mated females to small populations to improve genetic diversity,Awaiting assessment
1313,Introduce nest boxes stocked with solitary bees,No evidence found (no assessment)
1314,Introduce nurse plants (to aid focal peatland plants),Unknown effectiveness (limited evidence)
1315,Introduce nurse plants (without planting peatland vegetation),No evidence found (no assessment)
1316,Introduce nurse plants to aid focal non-woody plants: brackish/saline wetlands,Unknown effectiveness (limited evidence)
1317,Introduce nurse plants to aid focal non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence)
1318,Introduce nurse plants to aid focal trees/shrubs: brackish/saline wetlands,Unknown effectiveness (limited evidence)
1319,Introduce nurse plants to aid focal trees/shrubs: freshwater wetlands,No evidence found (no assessment)
1320,Introduce nurse plants: brackish/saline swamps,Unknown effectiveness (limited evidence)
1321,Introduce nurse plants: brackish/salt marshes,No evidence found (no assessment)
1322,Introduce nurse plants: freshwater marshes,No evidence found (no assessment)
1323,Introduce nurse plants: freshwater swamps,No evidence found (no assessment)
1324,Introduce or enforce legislation to prevent ponds and streams from being contaminated by toxins,No evidence found (no assessment)
1325,Introduce organisms to control problematic plants: brackish/saline swamps,No evidence found (no assessment)
1326,Introduce organisms to control problematic plants: brackish/salt marshes,No evidence found (no assessment)
1327,Introduce organisms to control problematic plants: freshwater marshes,Unknown effectiveness (limited evidence)
1328,Introduce organisms to control problematic plants: freshwater swamps,Unknown effectiveness (limited evidence)
1329,Introduce other food sources to replace bat meat,No evidence found (no assessment)
1330,Introduce other income sources to replace bat trade,No evidence found (no assessment)
1331,Introduce permits or licences for marine and freshwater mammal watching tours,No evidence found (no assessment)
1332,Introduce permits or licences for recreational watersports,No evidence found (no assessment)
1333,Introduce plants to marshes or swamps to control pollution,No evidence found (no assessment)
1334,Introduce regulations for flying aircraft over marine and freshwater mammals,No evidence found (no assessment)
1335,Introduce regulations for flying drones over marine and freshwater mammals,No evidence found (no assessment)
1336,Introduce regulations for the use of underwater drones in proximity to marine and freshwater mammals,No evidence found (no assessment)
1337,Introduce seeds of non-woody plants: brackish/saline wetlands,Likely to be beneficial
1338,Introduce seeds of non-woody plants: freshwater wetlands,Likely to be beneficial
1339,Introduce seeds of peatland herbs,Likely to be beneficial
1340,Introduce seeds of peatland trees/shrubs,Likely to be beneficial
1341,Introduce tree/shrub seeds or propagules: brackish/saline wetlands,Likely to be beneficial
1342,Introduce tree/shrub seeds or propagules: freshwater wetlands,Unknown effectiveness (limited evidence)
1343,Introduce voluntary ‘maximum shoot distances’,Unknown effectiveness (limited evidence)
1344,Involve fishers and stakeholders in co-management,Awaiting assessment
1345,Involve fishers in designing and trialling new fishing gear types to encourage uptake of gear that reduces unwanted catch of mammals,No evidence found (no assessment)
1346,Involve fishers in designing and trialling new fishing gear types to encourage uptake of gear that reduces unwanted catch of reptiles,No evidence found (no assessment)
1347,Involve fishers in designing and trialling new gear types to encourage uptake of more selective fishing gear,Awaiting assessment
1348,Involve local communities in marine and freshwater mammal conservation projects,No evidence found (no assessment)
1349,Involve local community in primate research and conservation management,Unknown effectiveness (limited evidence)
1350,Involve stakeholders in allocation of harvest rights,Awaiting assessment
1351,Irrigate (before/after planting),No evidence found (no assessment)
1352,Irrigate before or after seeding/planting,Evidence not assessed
1353,Irrigate degraded shrublands,Unknown effectiveness (limited evidence)
1354,Irrigate peatland (before/after planting),Unknown effectiveness (limited evidence)
1355,Irrigate peatland (without planting),Unknown effectiveness (limited evidence)
1356,Isolate colonies of beneficial ants,Unknown effectiveness (limited evidence)
1357,Issue enforcement notices to deter use of non bear-proof garbage dumpsters to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
1358,Issue high fines and penalties for non-compliance with fisheries regulations,Awaiting assessment
1359,Keep cats indoors or in outside runs to reduce predation of wild mammals,Likely to be beneficial
1360,Keep dogs indoors or in outside enclosures to reduce threats to wild mammals,No evidence found (no assessment)
1361,Keep domestic cats and dogs well-fed to reduce predation of wild mammals,No evidence found (no assessment)
1362,Keep domestic cats indoors at night,No evidence found (no assessment)
1363,Keep domestic cats indoors at times when reptiles are most active,No evidence found (no assessment)
1364,Keep livestock in enclosures to reduce predation by mammals to reduce human-wildlife conflict,Likely to be beneficial
1365,Keep pure breeding populations of native honey bee subspecies,Awaiting assessment
1366,Keep safety distance to habituated animals,Unknown effectiveness (limited evidence)
1367,Landscape or artificially enhance the seabed (natural habitats),Unknown effectiveness (limited evidence)
1368,Leash or restrict domestic dog movements in reptile habitats,No evidence found (no assessment)
1369,Leave a fallow period during fish/shellfish farming,Unknown effectiveness (limited evidence)
1370,Leave anthropogenic structures in place after decommissioning,No evidence found (no assessment)
1371,Leave arable field margins uncropped with natural regeneration,Awaiting assessment
1372,Leave areas of uncut ryegrass in silage field,No evidence found (no assessment)
1373,Leave bat roosts and roost entrances unlit,Beneficial
1374,Leave coarse woody debris in forests,Trade-off between benefit and harms
1375,Leave coarse woody debris in forests,Unknown effectiveness (limited evidence)
1376,"Leave cultivated, uncropped margins or plots (includes 'lapwing plots')",Beneficial
1377,Leave cut vegetation in field to provide cover,Unknown effectiveness (limited evidence)
1378,Leave field margins unsprayed within the crop (conservation headlands),Awaiting assessment
1379,Leave headlands in fields unsprayed,Likely to be beneficial
