,Unnamed: 0,action,effectiveness,effectiveness_number
523,523,Control invasive non-predatory competitors,No evidence found (no assessment),1
524,524,Control invasive plant species,Unknown effectiveness (limited evidence),1
525,525,Control invasive plants,Likely to be beneficial,2
526,526,Control invasive predators,Likely to be beneficial,2
527,527,Control large herbivore populations,No evidence found (no assessment),1
528,528,Control mammalian predators on islands,Beneficial,2
529,529,Control mammalian predators on islands for gamebirds,Awaiting assessment,1
530,530,Control mammalian predators on islands for parrots,Awaiting assessment,1
531,531,Control mammalian predators on islands for pigeons,Awaiting assessment,1
532,532,Control mammalian predators on islands for rails,Awaiting assessment,1
533,533,Control mammalian predators on islands for raptors,Awaiting assessment,1
534,534,Control mammalian predators on islands for seabirds,Beneficial,2
535,535,Control mammalian predators on islands for songbirds,Awaiting assessment,1
536,536,Control mammalian predators on islands for waders,Awaiting assessment,1
537,537,Control mammalian predators on islands for wildfowl,Awaiting assessment,1
538,538,Control medium-sized herbivores,No evidence found (no assessment),1
539,539,Control mink,Evidence not assessed,1
540,540,Control non-native prey species to reduce populations and impacts of non-native predators,No evidence found (no assessment),1
541,541,Control non-native/problematic plants to restore habitat,No evidence found (no assessment),1
542,542,Control or remove habitat-altering mammals,Likely to be beneficial,2
543,543,Control or remove non-native or nuisance species on intertidal artificial structures,No evidence found (no assessment),1
544,544,Control or remove non-native or nuisance species on subtidal artificial structures,No evidence found (no assessment),1
545,545,Control populations of wild herbivores,No evidence found (no assessment),1
546,546,Control populations of wild invertebrates,No evidence found (no assessment),1
547,547,Control populations of wild vertebrates: brackish/saline swamps,No evidence found (no assessment),1
548,548,Control populations of wild vertebrates: brackish/salt marshes,No evidence found (no assessment),1
549,549,Control populations of wild vertebrates: freshwater marshes,Unknown effectiveness (limited evidence),1
550,550,Control populations of wild vertebrates: freshwater swamps,No evidence found (no assessment),1
551,551,Control predators not on islands,Evidence not assessed,1
552,552,Control predators not on islands for cranes,Awaiting assessment,1
553,553,Control predators not on islands for gamebirds,Awaiting assessment,1
554,554,Control predators not on islands for parrots,Awaiting assessment,1
555,555,Control predators not on islands for rails,Awaiting assessment,1
556,556,Control predators not on islands for seabirds,Awaiting assessment,1
557,557,Control predators not on islands for songbirds,Awaiting assessment,1
558,558,Control predators not on islands for waders,Awaiting assessment,1
559,559,Control predators not on islands for wildfowl,Awaiting assessment,1
560,560,"Control predatory mammals and birds (foxes, crows, stoats and weasels)",Likely to be beneficial,2
561,561,Control problematic plants (multiple interventions): brackish/saline marshes or swamps,No evidence found (no assessment),1
562,562,Control problematic plants (multiple interventions): freshwater marshes or swamps,Unknown effectiveness (limited evidence),1
563,563,Control problematic plants (specific intervention unclear): brackish/saline marshes or swamps,Unknown effectiveness (limited evidence),1
564,564,Control problematic plants (specific intervention unclear): freshwater marshes or swamps,Unknown effectiveness (limited evidence),1
565,565,Control rodents,Unknown effectiveness (limited evidence),1
566,566,Control scrub,Unknown effectiveness (limited evidence),1
567,567,Control scrub on farmland,Unknown effectiveness (limited evidence),1
568,568,Control ticks/fleas/lice in wild mammal populations,Unknown effectiveness (limited evidence),1
569,569,Control traffic and traffic timing,Likely to be beneficial,2
570,570,Control weeds without damaging other plants in conservation areas,Unknown effectiveness (limited evidence),1
571,571,Convert or revert arable land to permanent grassland,Unknown effectiveness (limited evidence),1
572,572,Convert to organic agriculture or aquaculture near peatlands,No evidence found (no assessment),1
573,573,Convert to organic farming,Awaiting assessment,1
574,574,Convert to organic farming,Trade-off between benefit and harms,1
575,575,Convert to organic farming,Evidence not assessed,1
576,576,Coppice trees,Awaiting assessment,1
577,577,Coppice trees,Unknown effectiveness (limited evidence),1
578,578,Coppice trees,No evidence found (no assessment),1
579,579,Coppice trees,No evidence found (no assessment),1
580,580,Coppice trees,No evidence found (no assessment),1
581,581,Coppice woodland,No evidence found (no assessment),1
582,582,Cover peatland with organic mulch (after planting),Likely to be beneficial,2
583,583,Cover peatland with organic mulch (without planting),Unknown effectiveness (limited evidence),1
584,584,Cover peatland with something other than mulch (after planting),Likely to be beneficial,2
585,585,Cover peatland with something other than mulch (without planting),Unknown effectiveness (limited evidence),1
586,586,Cover the ground using techniques other than plastic mats after restoration planting,Unknown effectiveness (limited evidence),1
587,587,Cover the ground with plastic mats after restoration planting,Unknown effectiveness (limited evidence),1
588,588,Cover the ground with straw after tree planting,Unknown effectiveness (limited evidence),1
589,589,Crassula helmsii: Alter environmental conditions to control plants,No evidence found (no assessment),1
590,590,Crassula helmsii: Biological control using fungal-based herbicides,No evidence found (no assessment),1
591,591,Crassula helmsii: Biological control using herbivores,No evidence found (no assessment),1
592,592,Crassula helmsii: Bury plants,No evidence found (no assessment),1
593,593,Crassula helmsii: Chemical control using herbicides,Beneficial,2
594,594,Crassula helmsii: Decontamination to prevent further spread,Beneficial,2
595,595,Crassula helmsii: Dry out waterbodies to control plants,No evidence found (no assessment),1
596,596,Crassula helmsii: Physical control using manual/mechanical control or dredging,No evidence found (no assessment),1
597,597,Crassula helmsii: Plant other species to suppress growth,No evidence found (no assessment),1
598,598,Crassula helmsii: Public education,No evidence found (no assessment),1
599,599,Crassula helmsii: Surround with wire mesh,No evidence found (no assessment),1
600,600,Crassula helmsii: Use a combination of control measures,Unknown effectiveness (limited evidence),1
601,601,Crassula helmsii: Use dyes to reduce light levels,Unlikely to be beneficial,0
602,602,Crassula helmsii: Use flame-throwers to control plants,No evidence found (no assessment),1
603,603,Crassula helmsii: Use grazing to control plants,Unlikely to be beneficial,0
604,604,Crassula helmsii: Use hot foam to control plants,Unlikely to be beneficial,0
605,605,Crassula helmsii: Use hot water to control plants,No evidence found (no assessment),1
606,606,Crassula helmsii: Use hydrogen peroxide to control plants,Unlikely to be beneficial,0
607,607,Crassula helmsii: Use lightproof barriers to control plants,Likely to be beneficial,2
608,608,Crassula helmsii: Use liquid nitrogen to kill plants,No evidence found (no assessment),1
609,609,Crassula helmsii: Use salt water to kill plants,Likely to be beneficial,2
610,610,Create 'rock pools' on intertidal artificial structures,Awaiting assessment,1
611,611,Create a Marine Protected Area or set levels of legal protection where natural climate refugia occur to further promote the persistence and recovery of species facing climate change,No evidence found (no assessment),1
612,612,Create alternative bat roosts within developments,Unknown effectiveness (limited evidence),1
613,613,Create artificial burrows,Awaiting assessment,1
614,614,Create artificial caves or hibernacula for bats,Likely to be beneficial,2
615,615,Create artificial habitat for marine and freshwater mammals,No evidence found (no assessment),1
616,616,Create artificial hibernacula or aestivation sites,Likely to be beneficial,2
617,617,Create artificial hollows and cracks in trees for roosting bats,Unknown effectiveness (limited evidence),1
618,618,Create artificial nests or nesting sites,Awaiting assessment,1
619,619,Create artificial reefs,Likely to be beneficial,2
620,620,Create artificial reefs of different 3-D structure and material used,Likely to be beneficial,2
621,621,"Create artificial refuges, hibernacula and aestivation sites",Awaiting assessment,1
622,622,Create artificial water sources,Likely to be beneficial,2
623,623,Create artificial wetlands to reduce the amount of pollutants reaching rivers and the sea,No evidence found (no assessment),1
624,624,Create artificial wetlands to reduce the amount of pollutants reaching the sea,No evidence found (no assessment),1
625,625,Create beetle banks,Likely to be beneficial,2
626,626,Create beetle banks,Unlikely to be beneficial,0
627,627,Create beetle banks,Unlikely to be beneficial,0
628,628,Create beetle banks on farmland,Unknown effectiveness (limited evidence),1
629,629,Create buffer zones around protected primate habitat,No evidence found (no assessment),1
630,630,Create buffer zones beside roads and other transportation corridors,No evidence found (no assessment),1
631,631,Create corn bunting plots,No evidence found (no assessment),1
632,632,Create corn bunting plots,No evidence found (no assessment),1
633,633,Create crevice habitats (>50 mm) on intertidal artificial structures,No evidence found (no assessment),1
634,634,Create crevice habitats (>50 mm) on subtidal artificial structures,No evidence found (no assessment),1
635,635,Create designated areas or access points for recreational activities,No evidence found (no assessment),1
636,636,Create fire breaks,Awaiting assessment,1
637,637,Create groove habitats (1–50 mm) on intertidal artificial structures,Awaiting assessment,1
638,638,Create groove habitats (1–50 mm) on subtidal artificial structures,Awaiting assessment,1
639,639,"Create grooves and small protrusions, ridges or ledges (1–50 mm) on intertidal artificial structures",Awaiting assessment,1
640,640,"Create grooves and small protrusions, ridges or ledges (1–50 mm) on subtidal artificial structures",Awaiting assessment,1
641,641,Create habitat connectivity,No evidence found (no assessment),1
642,642,Create hole habitats (>50 mm) on intertidal artificial structures,Awaiting assessment,1
643,643,Create hole habitats (>50 mm) on subtidal artificial structures,Awaiting assessment,1
644,644,Create large adjoining cavities or ‘swimthrough’ habitats (>100 mm) on intertidal artificial structures,No evidence found (no assessment),1
645,645,Create large adjoining cavities or ‘swimthrough’ habitats (>100 mm) on subtidal artificial structures,Awaiting assessment,1
646,646,Create large protrusions (>50 mm) on intertidal artificial structures,Awaiting assessment,1
647,647,Create large protrusions (>50 mm) on subtidal artificial structures,No evidence found (no assessment),1
648,648,Create large ridges or ledges (>50 mm) on intertidal artificial structures,Awaiting assessment,1
649,649,Create large ridges or ledges (>50 mm) on subtidal artificial structures,No evidence found (no assessment),1
650,650,Create legislation for ‘no net loss’ of wetlands,No evidence found (no assessment),1
651,651,Create long flexible habitats (>50 mm) on intertidal artificial structures,Awaiting assessment,1
652,652,Create long flexible habitats (>50 mm) on subtidal artificial structures,Awaiting assessment,1
653,653,Create managed paths/signs to contain disturbance,No evidence found (no assessment),1
654,654,Create microclimate and microhabitat refuges,Evidence not assessed,1
655,655,Create mounds or hollows (before planting),Unknown effectiveness (limited evidence),1
656,656,Create mounds or hollows before planting non-woody plants: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
657,657,Create mounds or hollows before planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence),1
658,658,Create mounds or hollows before planting trees/shrubs: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
659,659,Create mounds or hollows before planting trees/shrubs: freshwater wetlands,Likely to be beneficial,2
660,660,Create mounds or hollows: brackish/saline swamps,Unknown effectiveness (limited evidence),1
661,661,Create mounds or hollows: brackish/salt marshes,No evidence found (no assessment),1
662,662,Create mounds or hollows: freshwater marshes,No evidence found (no assessment),1
663,663,Create mounds or hollows: freshwater swamps,No evidence found (no assessment),1
664,664,Create natural habitat islands within agricultural land,No evidence found (no assessment),1
665,665,Create natural rocky reef topography on intertidal artificial structures,Awaiting assessment,1
666,666,Create natural rocky reef topography on subtidal artificial structures,Awaiting assessment,1
667,667,Create new unlit commuting routes using planting,No evidence found (no assessment),1
668,668,Create open patches or strips in permanent grassland,Evidence not assessed,1
669,669,Create open patches or strips in permanent grassland,Unknown effectiveness (limited evidence),1
670,670,Create or maintain corridors between habitat patches,Likely to be beneficial,2
671,671,Create or maintain small dams to provide foraging and drinking habitat for bats,Unknown effectiveness (limited evidence),1
672,672,Create or restore bat foraging habitat in urban areas,Unknown effectiveness (limited evidence),1
673,673,Create or restore forests,Awaiting assessment,1
674,674,Create or restore grasslands,Awaiting assessment,1
675,675,Create or restore ponds,Awaiting assessment,1
676,676,Create or restore rock outcrops,Awaiting assessment,1
677,677,Create or restore savannas,Awaiting assessment,1
678,678,Create or restore shrubland,Awaiting assessment,1
679,679,Create or restore waterways,Awaiting assessment,1
680,680,Create or restore wetlands,Awaiting assessment,1
681,681,Create patches of bare ground for ground-nesting bees,Awaiting assessment,1
682,682,Create pit habitats (1–50 mm) on intertidal artificial structures,Awaiting assessment,1
683,683,Create pit habitats (1–50 mm) on subtidal artificial structures,Awaiting assessment,1
684,684,Create ponds for amphibians,Beneficial,2
685,685,Create ponds for frogs,Beneficial,2
686,686,Create ponds for great crested newts,Likely to be beneficial,2
687,687,Create ponds for green toads,Likely to be beneficial,2
688,688,Create ponds for natterjack toads,Beneficial,2
689,689,Create ponds for salamanders (including newts),Beneficial,2
690,690,Create ponds for toads,Likely to be beneficial,2
691,691,Create refuge areas in aquatic habitats,No evidence found (no assessment),1
692,692,Create refuges,Likely to be beneficial,2
693,693,Create rotational grass or clover leys,Unknown effectiveness (limited evidence),1
694,694,Create scrapes and pools,Unknown effectiveness (limited evidence),1
695,695,Create scrapes and pools in wetlands and wet grasslands,Likely to be beneficial,2
696,696,Create short flexible habitats (1–50 mm) on intertidal artificial structures,Awaiting assessment,1
697,697,Create short flexible habitats (1–50 mm) on subtidal artificial structures,Awaiting assessment,1
698,698,Create skylark plots,Beneficial,2
699,699,Create skylark plots for bird conservation,Likely to be beneficial,2
700,700,Create small adjoining cavities or ‘swimthrough’ habitats (≤100 mm) on intertidal artificial structures,Awaiting assessment,1
701,701,Create small adjoining cavities or ‘swimthrough’ habitats (≤100 mm) on subtidal artificial structures,Awaiting assessment,1
702,702,Create small protrusions (1–50 mm) on intertidal artificial structures,Awaiting assessment,1
703,703,Create small protrusions (1–50 mm) on subtidal artificial structures,Awaiting assessment,1
704,704,Create small ridges or ledges (1–50 mm) on intertidal artificial structures,Awaiting assessment,1
705,705,Create small ridges or ledges (1–50 mm) on subtidal artificial structures,No evidence found (no assessment),1
706,706,Create spaces for roosting bats in road/railway bridges and culverts,Likely to be beneficial,2
707,707,Create suitable habitats to offset habitat lost within development footprint,No evidence found (no assessment),1
708,708,Create textured surfaces (≤1 mm) on intertidal artificial structures,Awaiting assessment,1
709,709,Create textured surfaces (≤1 mm) on subtidal artificial structures,Awaiting assessment,1
710,710,Create tree plantations on agricultural land,Unknown effectiveness (limited evidence),1
711,711,Create uncultivated margins around arable or pasture fields,Awaiting assessment,1
712,712,Create uncultivated margins around intensive arable or pasture fields,Beneficial,2
713,713,Create uncultivated margins around intensive arable or pasture fields,Beneficial,2
714,714,Create uncultivated margins around intensive arable or pasture fields for birds,Likely to be beneficial,2
715,715,Create walls or barriers to exclude pollutants,Unknown effectiveness (limited evidence),1
716,716,Create walls or barriers to exclude pollutants,No evidence found (no assessment),1
717,717,Create wetland,Beneficial,2
718,718,Create/preserve primate habitat on islands before dam construction,No evidence found (no assessment),1
719,719,Create/protect forest patches in highly fragmented landscapes,Unknown effectiveness (limited evidence),1
720,720,Create/protect habitat corridors,Likely to be beneficial,2
721,721,Crop production: Add compost to the soil,Likely to be beneficial,2
722,722,Crop production: Add manure to the soil,Unknown effectiveness (limited evidence),1
723,723,Crop production: Add sewage sludge to the soil,Unknown effectiveness (limited evidence),1
724,724,Crop production: Add slurry to the soil,Beneficial,2
725,725,Crop production: Grow cover crops in arable fields,Likely to be ineffective or harmful,0
726,726,Crop production: Plant flowers,Unknown effectiveness (limited evidence),1
727,727,Crop production: Plant hedgerows,Unknown effectiveness (limited evidence),1
728,728,Crop production: Plant or maintain ground cover in orchards or vineyards,Likely to be ineffective or harmful,0
729,729,Crop production: Use crop rotations,Likely to be beneficial,2
730,730,Crop production: Use no tillage in arable fields,Likely to be ineffective or harmful,0
731,731,Crop production: Use no tillage instead of reduced tillage,Trade-off between benefit and harms,1
732,732,Crop production: Use organic fertilizer instead of inorganic,Trade-off between benefit and harms,1
733,733,Crop production: Use reduced tillage in arable fields,Trade-off between benefit and harms,1
734,734,Cross compliance standards for all subsidy payments,No evidence found (no assessment),1
735,735,Cull bats infected with white-nose syndrome,No evidence found (no assessment),1
736,736,Cull disease-infected animals,Likely to be beneficial,2
737,737,Cut and apply herbicide to control bracken,Unknown effectiveness (limited evidence),1
738,738,Cut and burn bracken,No evidence found (no assessment),1
739,739,Cut and use prescribed burning to control grass,Unknown effectiveness (limited evidence),1
740,740,Cut bracken and rotovate,Unknown effectiveness (limited evidence),1
741,741,Cut large trees/shrubs to maintain or restore disturbance,Likely to be beneficial,2
742,742,Cut large trees/shrubs to maintain or restore disturbance: brackish/saline swamps,No evidence found (no assessment),1
743,743,Cut large trees/shrubs to maintain or restore disturbance: brackish/salt marshes,No evidence found (no assessment),1
744,744,Cut large trees/shrubs to maintain or restore disturbance: freshwater marshes,Likely to be beneficial,2
745,745,Cut large trees/shrubs to maintain or restore disturbance: freshwater swamps,Unknown effectiveness (limited evidence),1
746,746,Cut or burn oil-contaminated vegetation: brackish/saline swamps,No evidence found (no assessment),1
747,747,Cut or burn oil-contaminated vegetation: brackish/salt marshes,Likely to be ineffective or harmful,0
748,748,Cut or burn oil-contaminated vegetation: freshwater marshes,No evidence found (no assessment),1
749,749,Cut or burn oil-contaminated vegetation: freshwater swamps,No evidence found (no assessment),1
750,750,Cut strips of shrubland vegetation to reduce the spread of fire,No evidence found (no assessment),1
751,751,Cut to control bracken,Unknown effectiveness (limited evidence),1
752,752,Cut trees,Unknown effectiveness (limited evidence),1
753,753,Cut trees and apply herbicide,Unknown effectiveness (limited evidence),1
754,754,Cut trees and increase livestock numbers,No evidence found (no assessment),1
755,755,Cut trees and remove leaf litter,Unknown effectiveness (limited evidence),1
756,756,Cut trees and remove tree seedlings,Unknown effectiveness (limited evidence),1
757,757,Cut trees and use prescribed burning,Unknown effectiveness (limited evidence),1
758,758,Cut/mow and rotovate to control grass,Unknown effectiveness (limited evidence),1
759,759,Cut/mow herbaceous plants to maintain or restore disturbance,Likely to be beneficial,2
760,760,Cut/mow herbaceous plants to maintain or restore disturbance: brackish/salt marshes,Likely to be beneficial,2
761,761,Cut/mow herbaceous plants to maintain or restore disturbance: freshwater marshes,Likely to be beneficial,2
762,762,Cut/mow shrubland to control trees,No evidence found (no assessment),1
763,763,Cut/mow to control grass,Unknown effectiveness (limited evidence),1
764,764,Cut/mow to control grass and sow seed of shrubland plants,Unknown effectiveness (limited evidence),1
765,765,"Cut/mow, rotovate and sow seeds to control grass",Unknown effectiveness (limited evidence),1
766,766,Cut/remove/thin forest plantations,Likely to be beneficial,2
767,767,Cut/remove/thin forest plantations and rewet peat,Likely to be beneficial,2
768,768,Cut/remove/thin forest plantations: brackish/saline swamps,No evidence found (no assessment),1
769,769,Cut/remove/thin forest plantations: brackish/salt marshes,No evidence found (no assessment),1
770,770,Cut/remove/thin forest plantations: freshwater marshes,Unknown effectiveness (limited evidence),1
771,771,Cut/remove/thin forest plantations: freshwater swamps,No evidence found (no assessment),1
772,772,Decontaminate clothing and equipment after entering caves to reduce the spread of the white-nose syndrome pathogen,No evidence found (no assessment),1
773,773,Decrease the circumference or diameter of the codend of a trawl net,Awaiting assessment,1
774,774,Deepen ponds to prevent desiccation,Evidence not assessed,1
775,775,"Deepen, de-silt or re-profile ponds",Beneficial,2
776,776,Delay haying/mowing,Likely to be beneficial,2
777,777,Delay herbicide use,Unknown effectiveness (limited evidence),1
778,778,Delay mowing or first grazing date on pasture or grassland,Likely to be beneficial,2
779,779,Delay mowing or first grazing date on pasture or grassland,Unknown effectiveness (limited evidence),1
780,780,Delay or cease operations if marine and freshwater mammals are detected within a specified zone,No evidence found (no assessment),1
781,781,Demarcate and enforce boundaries of protected areas,No evidence found (no assessment),1
782,782,Deploy fishing gear at different depths,Awaiting assessment,1
783,783,Deploy fishing gear at different depths,Unknown effectiveness (limited evidence),1
784,784,Deploy fishing gear at selected depths to avoid unwanted species,Awaiting assessment,1
785,785,Deploy fishing gear at selected times (day/night) to avoid unwanted species,Awaiting assessment,1
786,786,Deploy fishing gear at times when mammals are less active,No evidence found (no assessment),1
787,787,Deploy patrol boats,Awaiting assessment,1
788,788,Deposit soil/sediment and introduce vegetation: brackish/saline swamps,No evidence found (no assessment),1
789,789,Deposit soil/sediment and introduce vegetation: brackish/salt marshes,Likely to be beneficial,2
790,790,Deposit soil/sediment and introduce vegetation: freshwater marshes,No evidence found (no assessment),1
791,791,Deposit soil/sediment and introduce vegetation: freshwater swamps,No evidence found (no assessment),1
792,792,Deposit soil/sediment to form physical structure of brackish/saline swamps,No evidence found (no assessment),1
793,793,Deposit soil/sediment to form physical structure of brackish/salt marshes,Likely to be beneficial,2
794,794,Deposit soil/sediment to form physical structure of freshwater marshes,Unknown effectiveness (limited evidence),1
795,795,Deposit soil/sediment to form physical structure of freshwater swamps,No evidence found (no assessment),1
796,796,Design transportation or service corridors to maintain water flow,No evidence found (no assessment),1
797,797,Designate a Marine Protected Area and install physical barriers to prevent trawling,Unknown effectiveness (limited evidence),1
798,798,Designate a Marine Protected Area and introduce some fishing restrictions (types unspecified),Likely to be beneficial,2
799,799,Designate a Marine Protected Area and limit the density of traps,No evidence found (no assessment),1
800,800,Designate a Marine Protected Area and limit the number of fishing vessels,No evidence found (no assessment),1
801,801,Designate a Marine Protected Area and only allow hook and line fishing,Unknown effectiveness (limited evidence),1
802,802,Designate a Marine Protected Area and prohibit all towed (mobile) fishing gear,Unknown effectiveness (limited evidence),1
803,803,Designate a Marine Protected Area and prohibit all types of fishing,Likely to be beneficial,2
804,804,Designate a Marine Protected Area and prohibit aquaculture activity,Unknown effectiveness (limited evidence),1
805,805,Designate a Marine Protected Area and prohibit bottom trawling,Unknown effectiveness (limited evidence),1
806,806,Designate a Marine Protected Area and prohibit commercial fishing,Unknown effectiveness (limited evidence),1
807,807,Designate a Marine Protected Area and prohibit dredging,Unknown effectiveness (limited evidence),1
808,808,Designate a Marine Protected Area and prohibit static fishing gear,No evidence found (no assessment),1
809,809,Designate a Marine Protected Area and prohibit the harvesting of conch,Unknown effectiveness (limited evidence),1
810,810,Designate a Marine Protected Area and prohibit the harvesting of scallops,No evidence found (no assessment),1
811,811,Designate a Marine Protected Area and prohibit the harvesting of sea urchins,Likely to be beneficial,2
812,812,Designate a Marine Protected Area and set a no-anchoring zone,No evidence found (no assessment),1
813,813,Designate a Marine Protected Area with a zonation system of activity restrictions,Likely to be beneficial,2
814,814,"Designate a Marine Protected Area without setting management measures, usage restrictions, or enforcement",No evidence found (no assessment),1
815,815,Designate a Particularly Sensitive Sea Area (PSSA) to regulate impactful maritime activities,No evidence found (no assessment),1
816,816,Designate protected area,Likely to be beneficial,2
817,817,Designate zones for migration of marshes or swamps as climate changes,No evidence found (no assessment),1
818,818,Destroy habitat within buffer zones to make them unusable for primates,No evidence found (no assessment),1
819,819,Detect & report dead primates and clinically determine their cause of death to avoid disease transmission,Unknown effectiveness (limited evidence),1
820,820,Deter bats from roads/railways using lighting,No evidence found (no assessment),1
821,821,Deter bats from roads/railways using ultrasound,No evidence found (no assessment),1
822,822,Deter bats from turbines using low-level ultraviolet light,No evidence found (no assessment),1
823,823,Deter bats from turbines using radar,No evidence found (no assessment),1
824,824,Deter bats from turbines using ultrasound,Unknown effectiveness (limited evidence),1
825,825,Deter birds from landing on shellfish culture gear by suspending oyster bags under water,Likely to be beneficial,2
826,826,Deter birds from landing on shellfish culture gear using spikes on oyster cages,Likely to be beneficial,2
827,827,Deter or prevent birds from landing on toxic pools,No evidence found (no assessment),1
828,828,Deter predation of livestock by herding livestock using adults instead of children to reduce human-wildlife conflict,Unknown effectiveness (limited evidence),1
829,829,Deter predation of livestock by mammals by having people close by to reduce human-wildlife conflict,Unknown effectiveness (limited evidence),1
830,830,Deter predation of livestock by using shock/electronic dog-training collars to reduce human-wildlife conflict,Beneficial,2
831,831,Develop and implement regulations for operating vessels around mammals,No evidence found (no assessment),1
832,832,Develop/implement species recovery plans,Awaiting assessment,1
833,833,Dig trenches around culverts under roads/railways,Unknown effectiveness (limited evidence),1
834,834,Direct lighting away from bat access points or habitats,No evidence found (no assessment),1
835,835,Directly plant non-woody plants: brackish/saline wetlands,Beneficial,2
836,836,Directly plant non-woody plants: freshwater wetlands,Beneficial,2
837,837,Directly plant peatland herbs,Likely to be beneficial,2
838,838,Directly plant peatland mosses,Likely to be beneficial,2
839,839,Directly plant peatland trees/shrubs,Likely to be beneficial,2
840,840,Directly plant trees/shrubs: brackish/saline wetlands,Beneficial,2
841,841,Directly plant trees/shrubs: freshwater wetlands,Likely to be beneficial,2
842,842,Discourage the planting of fruit trees and vegetable gardens on the urban edge,No evidence found (no assessment),1
843,843,Dispose of drill cuttings on land rather than on the seabed,No evidence found (no assessment),1
844,844,Dispose of livestock carcasses to deter predation of livestock by mammals to reduce human-wildlife conflict,Unknown effectiveness (limited evidence),1
845,845,Dispose of waste from pet reptile enclosures carefully to prevent spread of disease,No evidence found (no assessment),1
846,846,Distribute poison bait for predator control using dispensers,Unknown effectiveness (limited evidence),1
847,847,Disturb birds at roosts,Likely to be beneficial,2
848,848,Disturb birds using foot patrols,Unlikely to be beneficial,0
849,849,Disturb peatland surface to encourage growth of desirable plants (without planting),Unknown effectiveness (limited evidence),1
850,850,Disturb soil before seeding/planting,Evidence not assessed,1
851,851,Disturb soil/sediment surface,Awaiting assessment,1
852,852,Disturb soil/sediment surface before planting non-woody plants: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
853,853,Disturb soil/sediment surface before planting non-woody plants: freshwater wetlands,No evidence found (no assessment),1
854,854,Disturb soil/sediment surface before planting trees/shrubs: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
855,855,Disturb soil/sediment surface before planting trees/shrubs: freshwater wetlands,No evidence found (no assessment),1
856,856,Disturb soil/sediment surface: brackish/saline swamps,No evidence found (no assessment),1
857,857,Disturb soil/sediment surface: brackish/salt marshes,Unknown effectiveness (limited evidence),1
858,858,Disturb soil/sediment surface: freshwater marshes,Unknown effectiveness (limited evidence),1
859,859,Disturb soil/sediment surface: freshwater swamps,No evidence found (no assessment),1
860,860,Disturb topsoil,Unknown effectiveness (limited evidence),1
861,861,Disturb vegetation,Unknown effectiveness (limited evidence),1
862,862,Diversify ground vegetation and canopy structure in the habitat around woody crops,Awaiting assessment,1
863,863,Divert bats to safe crossing points over or under roads/railways with plantings or fencing,Unknown effectiveness (limited evidence),1
864,864,Divert shipping routes,No evidence found (no assessment),1
865,865,Divert shipping routes,No evidence found (no assessment),1
866,866,Divert/block/stop freshwater inputs,No evidence found (no assessment),1
867,867,Divert/block/stop polluted water inputs,No evidence found (no assessment),1
868,868,Divert/block/stop saltwater inputs,No evidence found (no assessment),1
869,869,Divert/replace polluted water source(s),Likely to be beneficial,2
870,870,Do birds take bait designed for pest control?,Evidence not assessed,1
871,871,Do not allow people to consume food within natural areas where primates can view them,No evidence found (no assessment),1
872,872,Domestication: sterility/triploidy,Awaiting assessment,1
873,873,Drain/replace acidic water,Unknown effectiveness (limited evidence),1
874,874,Drill seed rather than seeding by hand,Evidence not assessed,1
875,875,Drive wild animals away using domestic animals of the same species to reduce human-wildlife conflict,Unknown effectiveness (limited evidence),1
876,876,Dry sludge in beds,Awaiting assessment,1
877,877,Dye baits to reduce seabird bycatch,Unknown effectiveness (limited evidence),1
878,878,Eco friendly biofouling prevention,Awaiting assessment,1
879,879,"Educate farmers, land managers and local communities about the benefits of bats to improve management of bat habitats",No evidence found (no assessment),1
880,880,"Educate farmers, local communities and pest controllers to reduce indiscriminate culling of vampire bats",No evidence found (no assessment),1
881,881,Educate homeowners about building and planning laws relating to bats to reduce disturbance to bat roosts,No evidence found (no assessment),1
882,882,Educate local communities about primates and sustainable use,Unknown effectiveness (limited evidence),1
883,883,Educate local communities and fishers on mammal protection laws to reduce killing of marine and freshwater mammals,No evidence found (no assessment),1
884,884,Educate pest controllers and homeowners/tenants to reduce the illegal use of pesticides in bat roosts,No evidence found (no assessment),1
885,885,Educate the public to improve behaviour towards marine and freshwater mammals,Likely to be beneficial,2
886,886,Educate the public to improve perception of bats to improve behaviour towards bats,No evidence found (no assessment),1
887,887,Educate the public to reduce consumer demand for fisheries that threaten mammals,No evidence found (no assessment),1
888,888,Eliminate fisheries subsidies that encourage overfishing,No evidence found (no assessment),1
889,889,Eliminate flags of convenience,Awaiting assessment,1
890,890,Eliminate highly virulent diseases early in an epidemic by culling all individuals (healthy and infected) in a defined area,No evidence found (no assessment),1
891,891,Employ areas of semi-natural habitat for rough grazing,No evidence found (no assessment),1
892,892,"Employ areas of semi-natural habitat for rough grazing (includes salt marsh, lowland heath, bog, fen)",Unknown effectiveness (limited evidence),1
893,893,Employ grazing in artificial grasslands/pastures,Trade-off between benefit and harms,1
894,894,Employ grazing in natural grasslands,Trade-off between benefit and harms,1
895,895,Employ grazing in non-grassland habitats,Trade-off between benefit and harms,1
